data;m;TEP;;;;;;;
04/02/2019;0;20,0;;;;;;;
04/02/2019;5;11,0;;;;;;;
04/02/2019;10;18,2;;;;;;;
04/02/2019;15;14,0;;;;;;;
04/02/2019;20;18,0;;;;;;;
04/02/2019;50;15,0;;;;;;;
04/02/2019;100;11,4;;;;;;;
04/02/2019;350;3,4;;;;;;;
09/04/2019;0;57,1;;;;;;;
09/04/2019;5;62,1;;;;;;;
09/04/2019;10;57,6;;;;;;;
09/04/2019;15;35,5;;;;;;;
09/04/2019;20;34,5;;;;;;;
09/04/2019;50;20,9;;;;;;;
09/04/2019;100;8,9;;;;;;;
09/04/2019;350;0,0;;;;;;;
10/06/2019;0;44,6;;;;;;;
10/06/2019;5;61,2;;;;;;;
10/06/2019;10;71,0;;;;;;;
10/06/2019;15;35,3;;;;;;;
10/06/2019;20;33,3;;;;;;;
10/06/2019;50;18,8;;;;;;;
10/06/2019;100;12,9;;;;;;;
10/06/2019;350;0,0;;;;;;;
01/07/2019;0;57,1;;;;;;;
01/07/2019;5;113,0;;;;;;;
01/07/2019;10;56,2;;;;;;;
01/07/2019;15;240,3;;;;;;;
01/07/2019;20;36,3;;;;;;;
01/07/2019;50;0,0;;;;;;;
01/07/2019;100;0,0;;;;;;;
01/07/2019;350;0,0;;;;;;;
05/08/2019;0;60;;;;;;;
05/08/2019;5;61;;;;;;;
05/08/2019;10;64;;;;;;;
05/08/2019;15;107;;;;;;;
05/08/2019;20;107;;;;;;;
05/08/2019;50;23;;;;;;;
05/08/2019;100;23;;;;;;;
05/08/2019;350;93;;;;;;;
16/09/2019;0;1463;;;;;;;
16/09/2019;5;1051;;;;;;;
16/09/2019;10;895;;;;;;;
16/09/2019;15;232;;;;;;;
16/09/2019;20;176;;;;;;;
16/09/2019;50;123;;;;;;;
16/09/2019;100;66;;;;;;;
16/09/2019;350;0;;;;;;;
15/10/2019;0;50,7;;;;;;;
15/10/2019;5;56,7;;;;;;;
15/10/2019;10;52,7;;;;;;;
15/10/2019;15;45,4;;;;;;;
15/10/2019;20;24,3;;;;;;;
15/10/2019;50;12,3;;;;;;;
15/10/2019;100;12,7;;;;;;;
15/10/2019;350;0,0;;;;;;;
10/02/2020;0;77,7;;;;;;;
10/02/2020;5;100,5;;;;;;;
10/02/2020;10;69,5;;;;;;;
10/02/2020;15;78,6;;;;;;;
10/02/2020;20;85,0;;;;;;;
10/02/2020;50;32,0;;;;;;;
10/02/2020;100;27,4;;;;;;;
10/02/2020;350;0,0;;;;;;;
19/05/2020;0;46,6;;;;;;;
19/05/2020;5;131,3;;;;;;;
19/05/2020;10;105,3;;;;;;;
19/05/2020;15;102,4;;;;;;;
19/05/2020;20;81,6;;;;;;;
19/05/2020;50;29,0;;;;;;;
19/05/2020;100;10,5;;;;;;;
19/05/2020;350;0,0;;;;;;;
08/06/2020;0;183,0;;;;;;;
08/06/2020;5;34,2;;;;;;;
08/06/2020;10;78,6;;;;;;;
08/06/2020;15;40,6;;;;;;;
08/06/2020;20;30,3;;;;;;;
08/06/2020;50;27,7;;;;;;;
08/06/2020;100;7,2;;;;;;;
08/06/2020;350;0,0;;;;;;;
13/07/2020;0;690;;;;;;;
13/07/2020;5;912;;;;;;;
13/07/2020;10;643;;;;;;;
13/07/2020;15;401;;;;;;;
13/07/2020;20;256;;;;;;;
13/07/2020;50;236;;;;;;;
13/07/2020;100;176;;;;;;;
13/07/2020;350;91;;;;;;;
03/08/2020;0;1653;;;;;;;
03/08/2020;5;548;;;;;;;
03/08/2020;10;595;;;;;;;
03/08/2020;15;471;;;;;;;
03/08/2020;20;204;;;;;;;
03/08/2020;50;42;;;;;;;
03/08/2020;100;40;;;;;;;
03/08/2020;350;2;;;;;;;
14/09/2020;0;3066;;;;;;;
14/09/2020;5;532;;;;;;;
14/09/2020;10;1653;;;;;;;
14/09/2020;15;186;;;;;;;
14/09/2020;20;132;;;;;;;
14/09/2020;50;74;;;;;;;
14/09/2020;100;22;;;;;;;
14/09/2020;350;0;;;;;;;
20/10/2020;0;67;;;;;;;
20/10/2020;5;130;;;;;;;
20/10/2020;10;72;;;;;;;
20/10/2020;15;160;;;;;;;
20/10/2020;20;131;;;;;;;
20/10/2020;50;58;;;;;;;
20/10/2020;100;41;;;;;;;
20/10/2020;350;0;;;;;;;
15/02/2021;0;11;;;;;;;
15/02/2021;5;5;;;;;;;
15/02/2021;10;6;;;;;;;
15/02/2021;15;10;;;;;;;
15/02/2021;20;9;;;;;;;
15/02/2021;50;3;;;;;;;
15/02/2021;100;3;;;;;;;
15/02/2021;350;0;;;;;;;
31/05/2021;0;59;;;;;;;
31/05/2021;5;76;;;;;;;
31/05/2021;10;66;;;;;;;
31/05/2021;15;19;;;;;;;
31/05/2021;20;14;;;;;;;
31/05/2021;50;7;;;;;;;
31/05/2021;100;5;;;;;;;
31/05/2021;350;0;;;;;;;
16/06/2021;0;23;;;;;;;
16/06/2021;5;33;;;;;;;
16/06/2021;10;55;;;;;;;
16/06/2021;15;35;;;;;;;
16/06/2021;20;19;;;;;;;
16/06/2021;50;11;;;;;;;
16/06/2021;100;5;;;;;;;
16/06/2021;350;0;;;;;;;
19/07/2021;0;513;;;;;;;
19/07/2021;5;177;;;;;;;
19/07/2021;10;169;;;;;;;
19/07/2021;15;156;;;;;;;
19/07/2021;20;51;;;;;;;
19/07/2021;50;9;;;;;;;
19/07/2021;100;0;;;;;;;
19/07/2021;350;0;;;;;;;
16/08/2021;0;179;;;;;;;
16/08/2021;5;207;;;;;;;
16/08/2021;10;150;;;;;;;
16/08/2021;15;61;;;;;;;
16/08/2021;20;46;;;;;;;
16/08/2021;50;22;;;;;;;
16/08/2021;100;0;;;;;;;
16/08/2021;350;0;;;;;;;
20/09/2021;0;90;;;;;;;
20/09/2021;5;57;;;;;;;
20/09/2021;10;96;;;;;;;
20/09/2021;15;97;;;;;;;
20/09/2021;20;66;;;;;;;
20/09/2021;50;15;;;;;;;
20/09/2021;100;8;;;;;;;
20/09/2021;350;0;;;;;;;
12/10/2021;0;48;;;;;;;
12/10/2021;5;31;;;;;;;
12/10/2021;10;37;;;;;;;
12/10/2021;15;18;;;;;;;
12/10/2021;20;30;;;;;;;
12/10/2021;50;15;;;;;;;
12/10/2021;100;8;;;;;;;
12/10/2021;350;0;;;;;;;
;;;;;;;;;
;;;;;;;;;
;;;;;;;;;
;;;;;;;;;
;;;;;;;;;
;;;;;;;;;
;;;;;;;;;
;;;;;;;;;
;;;;;;;;;
;;;;;;;;;
;;;;;;;;;
;;;;;;;;;
;;;;;;;;;
;;;;;;;;;
;;;;;;;;;
;;;;;;;;;
;;;;;;;;;
;;;;;;;;;
;;;;;;;;;
;;;;;;;;;
;;;;;;;;;
;;;;;;;;;
;;;;;;;;;
;;;;;;;;;
;;;;;;;;;
;;;;;;;;;
;;;;;;;;;
;;;;;;;;;
;;;;;;;;;
;;;;;;;;;
;;;;;;;;;
;;;;;;;;;
;;;;;;;;;
;;;;;;;;;
;;;;;;;;;
;;;;;;;;;
;;;;;;;;;
;;;;;;;;;
;;;;;;;;;
;;;;;;;;;
;;;;;;;;;
;;;;;;;;;
;;;;;;;;;
;;;;;;;;;
;;;;;;;;;
;;;;;;;;;
;;;;;;;;;
;;;;;;;;;
;;;;;;;;;
;;;;;;;;;
;;;;;;;;;
;;;;;;;;;
;;;;;;;;;
;;;;;;;;;
;;;;;;;;;
;;;;;;;;;
;;;;;;;;;
;;;;;;;;;
;;;;;;;;;
;;;;;;;;;
;;;;;;;;;
;;;;;;;;;
;;;;;;;;;
;;;;;;;;;
;;;;;;;;;
;;;;;;;;;
;;;;;;;;;
;;;;;;;;;
;;;;;;;;;
;;;;;;;;;
;;;;;;;;;
;;;;;;;;;
;;;;;;;;;
;;;;;;;;;
;;;;;;;;;
;;;;;;;;;
;;;;;;;;;
;;;;;;;;;
;;;;;;;;;
;;;;;;;;;
;;;;;;;;;
;;;;;;;;;
;;;;;;;;;
;;;;;;;;;
;;;;;;;;;
;;;;;;;;;
;;;;;;;;;
;;;;;;;;;
;;;;;;;;;
;;;;;;;;;
;;;;;;;;;
;;;;;;;;;
;;;;;;;;;
;;;;;;;;;
;;;;;;;;;
;;;;;;;;;
;;;;;;;;;
;;;;;;;;;
;;;;;;;;;
;;;;;;;;;
;;;;;;;;;
;;;;;;;;;
;;;;;;;;;
;;;;;;;;;
;;;;;;;;;
;;;;;;;;;
;;;;;;;;;
;;;;;;;;;
;;;;;;;;;
;;;;;;;;;
;;;;;;;;;
;;;;;;;;;
;;;;;;;;;
;;;;;;;;;
;;;;;;;;;
;;;;;;;;;
;;;;;;;;;
;;;;;;;;;
;;;;;;;;;
;;;;;;;;;
;;;;;;;;;
;;;;;;;;;
;;;;;;;;;
;;;;;;;;;
;;;;;;;;;
;;;;;;;;;
;;;;;;;;;
;;;;;;;;;
;;;;;;;;;
;;;;;;;;;
;;;;;;;;;
;;;;;;;;;
;;;;;;;;;
;;;;;;;;;
;;;;;;;;;
;;;;;;;;;
;;;;;;;;;
;;;;;;;;;
;;;;;;;;;
;;;;;;;;;
;;;;;;;;;
;;;;;;;;;
;;;;;;;;;
;;;;;;;;;
;;;;;;;;;
;;;;;;;;;
;;;;;;;;;
;;;;;;;;;
;;;;;;;;;
;;;;;;;;;
;;;;;;;;;
;;;;;;;;;
;;;;;;;;;
;;;;;;;;;
;;;;;;;;;
;;;;;;;;;
;;;;;;;;;
;;;;;;;;;
;;;;;;;;;
;;;;;;;;;
;;;;;;;;;
;;;;;;;;;
;;;;;;;;;
;;;;;;;;;
;;;;;;;;;
;;;;;;;;;
;;;;;;;;;
;;;;;;;;;
;;;;;;;;;
;;;;;;;;;
;;;;;;;;;
;;;;;;;;;
;;;;;;;;;
;;;;;;;;;
;;;;;;;;;
;;;;;;;;;
;;;;;;;;;
;;;;;;;;;
;;;;;;;;;
;;;;;;;;;
;;;;;;;;;
;;;;;;;;;
;;;;;;;;;
;;;;;;;;;
;;;;;;;;;
;;;;;;;;;
;;;;;;;;;
;;;;;;;;;
;;;;;;;;;
;;;;;;;;;
;;;;;;;;;
;;;;;;;;;
;;;;;;;;;
;;;;;;;;;
;;;;;;;;;
;;;;;;;;;
;;;;;;;;;
;;;;;;;;;
;;;;;;;;;
;;;;;;;;;
;;;;;;;;;
;;;;;;;;;
;;;;;;;;;
;;;;;;;;;
;;;;;;;;;
;;;;;;;;;
;;;;;;;;;
;;;;;;;;;
;;;;;;;;;
;;;;;;;;;
;;;;;;;;;
;;;;;;;;;
;;;;;;;;;
;;;;;;;;;
;;;;;;;;;
;;;;;;;;;
;;;;;;;;;
;;;;;;;;;
;;;;;;;;;
;;;;;;;;;
;;;;;;;;;
;;;;;;;;;
;;;;;;;;;
;;;;;;;;;
;;;;;;;;;
;;;;;;;;;
;;;;;;;;;
;;;;;;;;;
;;;;;;;;;
;;;;;;;;;
;;;;;;;;;
;;;;;;;;;
;;;;;;;;;
;;;;;;;;;
;;;;;;;;;
;;;;;;;;;
;;;;;;;;;
;;;;;;;;;
;;;;;;;;;
;;;;;;;;;
;;;;;;;;;
;;;;;;;;;
;;;;;;;;;
;;;;;;;;;
;;;;;;;;;
;;;;;;;;;
;;;;;;;;;
;;;;;;;;;
;;;;;;;;;
;;;;;;;;;
;;;;;;;;;
;;;;;;;;;
;;;;;;;;;
;;;;;;;;;
;;;;;;;;;
;;;;;;;;;
;;;;;;;;;
;;;;;;;;;
;;;;;;;;;
;;;;;;;;;
;;;;;;;;;
;;;;;;;;;
;;;;;;;;;
;;;;;;;;;
;;;;;;;;;
;;;;;;;;;
;;;;;;;;;
;;;;;;;;;
;;;;;;;;;
;;;;;;;;;
;;;;;;;;;
;;;;;;;;;
;;;;;;;;;
;;;;;;;;;
;;;;;;;;;
;;;;;;;;;
;;;;;;;;;
;;;;;;;;;
;;;;;;;;;
;;;;;;;;;
;;;;;;;;;
;;;;;;;;;
;;;;;;;;;
;;;;;;;;;
;;;;;;;;;
;;;;;;;;;
;;;;;;;;;
;;;;;;;;;
;;;;;;;;;
;;;;;;;;;
;;;;;;;;;
;;;;;;;;;
;;;;;;;;;
;;;;;;;;;
;;;;;;;;;
;;;;;;;;;
;;;;;;;;;
;;;;;;;;;
;;;;;;;;;
;;;;;;;;;
;;;;;;;;;
;;;;;;;;;
;;;;;;;;;
;;;;;;;;;
;;;;;;;;;
;;;;;;;;;
;;;;;;;;;
;;;;;;;;;
;;;;;;;;;
;;;;;;;;;
;;;;;;;;;
;;;;;;;;;
;;;;;;;;;
;;;;;;;;;
;;;;;;;;;
;;;;;;;;;
;;;;;;;;;
;;;;;;;;;
;;;;;;;;;
;;;;;;;;;
;;;;;;;;;
;;;;;;;;;
;;;;;;;;;
;;;;;;;;;
;;;;;;;;;
;;;;;;;;;
;;;;;;;;;
;;;;;;;;;
;;;;;;;;;
;;;;;;;;;
;;;;;;;;;
;;;;;;;;;
;;;;;;;;;
;;;;;;;;;
;;;;;;;;;
;;;;;;;;;
;;;;;;;;;
;;;;;;;;;
;;;;;;;;;
;;;;;;;;;
;;;;;;;;;
;;;;;;;;;
;;;;;;;;;
;;;;;;;;;
;;;;;;;;;
;;;;;;;;;
;;;;;;;;;
;;;;;;;;;
;;;;;;;;;
;;;;;;;;;
;;;;;;;;;
;;;;;;;;;
;;;;;;;;;
;;;;;;;;;
;;;;;;;;;
;;;;;;;;;
;;;;;;;;;
;;;;;;;;;
;;;;;;;;;
;;;;;;;;;
;;;;;;;;;
;;;;;;;;;
;;;;;;;;;
;;;;;;;;;
;;;;;;;;;
;;;;;;;;;
;;;;;;;;;
;;;;;;;;;
;;;;;;;;;
;;;;;;;;;
;;;;;;;;;
;;;;;;;;;
;;;;;;;;;
;;;;;;;;;
;;;;;;;;;
;;;;;;;;;
;;;;;;;;;
;;;;;;;;;
;;;;;;;;;
;;;;;;;;;
;;;;;;;;;
;;;;;;;;;
;;;;;;;;;
;;;;;;;;;
;;;;;;;;;
;;;;;;;;;
;;;;;;;;;
;;;;;;;;;
;;;;;;;;;
;;;;;;;;;
;;;;;;;;;
;;;;;;;;;
;;;;;;;;;
;;;;;;;;;
;;;;;;;;;
;;;;;;;;;
;;;;;;;;;
;;;;;;;;;
;;;;;;;;;
;;;;;;;;;
;;;;;;;;;
;;;;;;;;;
;;;;;;;;;
;;;;;;;;;
;;;;;;;;;
;;;;;;;;;
;;;;;;;;;
;;;;;;;;;
;;;;;;;;;
;;;;;;;;;
;;;;;;;;;
;;;;;;;;;
;;;;;;;;;
;;;;;;;;;
;;;;;;;;;
;;;;;;;;;
;;;;;;;;;
;;;;;;;;;
;;;;;;;;;
;;;;;;;;;
;;;;;;;;;
;;;;;;;;;
;;;;;;;;;
;;;;;;;;;
;;;;;;;;;
;;;;;;;;;
;;;;;;;;;
;;;;;;;;;
;;;;;;;;;
;;;;;;;;;
;;;;;;;;;
;;;;;;;;;
;;;;;;;;;
;;;;;;;;;
;;;;;;;;;
;;;;;;;;;
;;;;;;;;;
;;;;;;;;;
;;;;;;;;;
;;;;;;;;;
;;;;;;;;;
;;;;;;;;;
;;;;;;;;;
;;;;;;;;;
;;;;;;;;;
;;;;;;;;;
;;;;;;;;;
;;;;;;;;;
;;;;;;;;;
;;;;;;;;;
;;;;;;;;;
;;;;;;;;;
;;;;;;;;;
;;;;;;;;;
;;;;;;;;;
;;;;;;;;;
;;;;;;;;;
;;;;;;;;;
;;;;;;;;;
;;;;;;;;;
;;;;;;;;;
;;;;;;;;;
;;;;;;;;;
;;;;;;;;;
;;;;;;;;;
;;;;;;;;;
;;;;;;;;;
;;;;;;;;;
;;;;;;;;;
;;;;;;;;;
;;;;;;;;;
;;;;;;;;;
;;;;;;;;;
;;;;;;;;;
;;;;;;;;;
;;;;;;;;;
;;;;;;;;;
;;;;;;;;;
;;;;;;;;;
;;;;;;;;;
;;;;;;;;;
;;;;;;;;;
;;;;;;;;;
;;;;;;;;;
;;;;;;;;;
;;;;;;;;;
;;;;;;;;;
;;;;;;;;;
;;;;;;;;;
;;;;;;;;;
;;;;;;;;;
;;;;;;;;;
;;;;;;;;;
;;;;;;;;;
;;;;;;;;;
;;;;;;;;;
;;;;;;;;;
;;;;;;;;;
;;;;;;;;;
;;;;;;;;;
;;;;;;;;;
;;;;;;;;;
;;;;;;;;;
;;;;;;;;;
;;;;;;;;;
;;;;;;;;;
;;;;;;;;;
;;;;;;;;;
;;;;;;;;;
;;;;;;;;;
;;;;;;;;;
;;;;;;;;;
;;;;;;;;;
;;;;;;;;;
;;;;;;;;;
;;;;;;;;;
;;;;;;;;;
;;;;;;;;;
;;;;;;;;;
;;;;;;;;;
;;;;;;;;;
;;;;;;;;;
;;;;;;;;;
;;;;;;;;;
;;;;;;;;;
;;;;;;;;;
;;;;;;;;;
;;;;;;;;;
;;;;;;;;;
;;;;;;;;;
;;;;;;;;;
;;;;;;;;;
;;;;;;;;;
;;;;;;;;;
;;;;;;;;;
;;;;;;;;;
;;;;;;;;;
;;;;;;;;;
;;;;;;;;;
;;;;;;;;;
;;;;;;;;;
;;;;;;;;;
;;;;;;;;;
;;;;;;;;;
;;;;;;;;;
;;;;;;;;;
;;;;;;;;;
;;;;;;;;;
;;;;;;;;;
;;;;;;;;;
;;;;;;;;;
;;;;;;;;;
;;;;;;;;;
;;;;;;;;;
;;;;;;;;;
;;;;;;;;;
;;;;;;;;;
;;;;;;;;;
;;;;;;;;;
;;;;;;;;;
;;;;;;;;;
;;;;;;;;;
;;;;;;;;;
;;;;;;;;;
;;;;;;;;;
;;;;;;;;;
;;;;;;;;;
;;;;;;;;;
;;;;;;;;;
;;;;;;;;;
;;;;;;;;;
;;;;;;;;;
;;;;;;;;;
;;;;;;;;;
;;;;;;;;;
;;;;;;;;;
;;;;;;;;;
;;;;;;;;;
;;;;;;;;;
;;;;;;;;;
